Entity,Code,Year,CSP LCOE (2019 USD/kWh),Hydro LCOE (2019 USD/kWh),Solar LCOE (2019 USD/kWh),Onshore wind LCOE (2019 USD/kWh),Bioenergy LCOE (2019 USD/kWh),Geothermal LCOE (2019 USD/kWh),Offshore wind LCOE (2019 USD/kWh)
World,OWID_WRL,2010,0.3462,0.037102502,0.3783,0.086,0.075597183,0.048785691,0.161
World,OWID_WRL,2011,0.3484,0.035593774,0.2863,0.083,0.055425239,,0.175
World,OWID_WRL,2012,0.3525,0.037753162,0.2225,0.083,0.060869469,0.084535622,0.154
World,OWID_WRL,2013,0.2681,0.042925512,0.1751,0.082,0.081262264,0.061515345,0.177
World,OWID_WRL,2014,0.2432,0.043931633,0.1636,0.076,0.082069038,0.063591412,0.183
World,OWID_WRL,2015,0.2508,0.039014387,0.1264,0.069,0.073028401,0.060106774,0.169
World,OWID_WRL,2016,0.2903,0.052219658,0.1139,0.066,0.071932378,0.069951457,0.146
World,OWID_WRL,2017,0.2533,0.055025186,0.0924,0.064,0.072432438,0.074108958,0.131
World,OWID_WRL,2018,0.1844,0.0445145,0.0787,0.058,0.056632077,0.070281656,0.127
World,OWID_WRL,2019,0.1823,0.047286639,0.0684,0.053,0.065646708,0.071860472,0.115
World,OWID_WRL,1983,,,,0.308,,,
World,OWID_WRL,1984,,,,0.294,,,
World,OWID_WRL,1985,,,,0.276,,,
World,OWID_WRL,1986,,,,0.247,,,
World,OWID_WRL,1987,,,,0.24,,,
World,OWID_WRL,1988,,,,0.201,,,
World,OWID_WRL,1989,,,,0.187,,,
World,OWID_WRL,1990,,,,0.204,,,
World,OWID_WRL,1991,,,,0.196,,,
World,OWID_WRL,1992,,,,0.193,,,
World,OWID_WRL,1993,,,,0.199,,,
World,OWID_WRL,1994,,,,0.193,,,
World,OWID_WRL,1995,,,,0.196,,,
World,OWID_WRL,1996,,,,0.178,,,
World,OWID_WRL,1997,,,,0.157,,,
World,OWID_WRL,1998,,,,0.139,,,
World,OWID_WRL,1999,,,,0.134,,,
World,OWID_WRL,2000,,,,0.142,,,0.121
World,OWID_WRL,2001,,,,0.126,,,0.12
World,OWID_WRL,2002,,,,0.119,,,0.117
World,OWID_WRL,2003,,,,0.106,,,0.103
World,OWID_WRL,2004,,,,0.111,,,0.135
World,OWID_WRL,2005,,,,0.104,,,0.105
World,OWID_WRL,2006,,,,0.105,,,0.108
World,OWID_WRL,2007,,,,0.098,,0.048497876,0.178
World,OWID_WRL,2008,,,,0.088,,0.042652893,0.178
World,OWID_WRL,2009,,,,0.087,,0.072623787,0.157
