United States Billion-Dollar Disasters By Year (Unadjusted)
Cost values are in billions of dollars
Year,"Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
1980,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,2.1,3.0,1.9,3.1,1.8,3.2,1,3.0,2.1,3.0,1.9,3.1,1.8,3.2
1984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.8,1.6,2.6,1.5,2.8,1.4,3.0,2,2.8,1.6,2.6,1.5,2.8,1.4,3.0
1986,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,8.1,9.4,7.8,9.7,7.7,9.9,1,9.0,8.1,9.4,7.8,9.7,7.7,9.9
1990,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.3,1.8,1.2,1.8,1.1,1.9,1,1.5,1.3,1.8,1.2,1.8,1.1,1.9
1992,1,1.0,0.9,1.0,0.9,1.1,0.8,1.1,2,30.1,26.9,32.7,25.9,33.8,25.4,34.5,3,31.1,27.8,33.7,26.8,34.9,26.2,35.6
1993,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,1,1.0,0.9,1.0,0.9,1.1,0.8,1.1,1,1.0,0.9,1.2,0.8,1.2,0.8,1.2,2,2.0,1.8,2.2,1.7,2.3,1.6,2.3
1995,1,5.5,4.2,5.7,3.9,6.0,3.7,6.3,2,6.8,6.3,8.0,6.1,8.6,6.0,8.9,3,12.3,10.5,13.7,10.0,14.6,9.7,15.2
1996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,4.6,5.9,4.3,6.2,4.1,6.4,1,5.0,4.6,5.9,4.3,6.2,4.1,6.4
1997,1,1.0,0.9,1.1,0.9,1.1,0.8,1.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.9,1.1,0.9,1.1,0.8,1.2
1998,3,3.7,3.4,4.0,3.2,4.2,3.2,4.4,2,7.0,6.0,7.7,5.7,8.2,5.6,8.4,5,10.7,9.4,11.7,8.9,12.4,8.8,12.8
1999,1,2.0,1.7,2.2,1.7,2.3,1.6,2.4,1,6.5,5.7,7.0,5.5,7.3,5.3,7.5,2,8.5,7.4,9.2,7.2,9.6,6.9,9.9
2000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,1,3.1,2.9,3.3,2.9,3.4,2.8,3.5,1,8.5,7.2,9.1,6.9,9.6,6.7,9.9,2,11.6,10.1,12.4,9.8,13.0,9.5,13.4
2002,1,2.1,1.9,2.1,1.9,2.2,1.8,2.2,2,2.3,2.0,2.5,1.8,2.7,1.8,2.8,3,4.4,3.9,4.6,3.7,4.9,3.6,5.0
2003,3,7.1,6.4,8.1,6.1,8.3,5.9,8.6,1,5.5,4.7,5.7,4.5,6.0,4.5,6.1,4,12.6,11.1,13.8,10.6,14.3,10.4,14.7
2004,1,1.0,0.9,1.1,0.9,1.1,0.8,1.2,4,53.8,48.2,57.5,46.8,59.5,46.1,60.6,5,54.8,49.1,58.6,47.7,60.6,46.9,61.8
2005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,165.0,138.5,180.3,131.5,190.6,127.2,197.2,4,165.0,138.5,180.3,131.5,190.6,127.2,197.2
2006,3,5.3,4.9,5.7,4.8,5.7,4.6,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5.3,4.9,5.7,4.8,5.7,4.6,6.0
2007,1,2.5,2.2,2.5,2.1,2.5,2.1,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.5,2.2,2.5,2.1,2.5,2.1,2.6
2008,6,8.9,8.6,9.8,8.2,10.0,7.8,10.1,3,37.3,34.1,40.0,33.2,41.3,32.7,42.1,9,46.2,42.7,49.8,41.4,51.3,40.5,52.2
2009,5,7.0,6.6,7.2,6.5,7.4,6.3,7.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7.0,6.6,7.2,6.5,7.4,6.3,7.5
2010,2,7.1,6.9,8.1,6.8,8.3,6.7,8.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.1,6.9,8.1,6.8,8.3,6.7,8.4
2011,9,31.3,28.7,33.7,28.0,35.1,26.9,36.8,2,16.0,14.0,17.4,13.6,18.2,13.4,18.6,11,47.3,42.7,51.1,41.6,53.3,40.3,55.4
