Entity,Code,Year,Coal (% growth)
Africa,,1966,-0.116
Africa,,1967,2.219
Africa,,1968,4.003
Africa,,1969,0.911
Africa,,1970,4.072
Africa,,1971,6.169
Africa,,1972,0.313
Africa,,1973,6.429
Africa,,1974,4.093
Africa,,1975,5.975
Africa,,1976,6.649
Africa,,1977,2.208
Africa,,1978,-2.823
Africa,,1979,6.16
Africa,,1980,7.158
Africa,,1981,16.97
Africa,,1982,10.283
Africa,,1983,1.721
Africa,,1984,6.961
Africa,,1985,3.181
Africa,,1986,2.311
Africa,,1987,2.851
Africa,,1988,7.466
Africa,,1989,-6.127
Africa,,1990,5.049
Africa,,1991,-2.804
Africa,,1992,0.598
Africa,,1993,1.551
Africa,,1994,2.588
Africa,,1995,3.09
Africa,,1996,1.383
Africa,,1997,2.543
Africa,,1998,-2.297
Africa,,1999,3.116
Africa,,2000,-0.229
Africa,,2001,1.278
Africa,,2002,-4.252
Africa,,2003,8.844
Africa,,2004,9.991
Africa,,2005,-7.177
Africa,,2006,1.419
Africa,,2007,1.654
Africa,,2008,10.213
Africa,,2009,-0.429
Africa,,2010,-0.974
Africa,,2011,-1.474
Africa,,2012,-2.45
Africa,,2013,1.059
Africa,,2014,4.737
Africa,,2015,-5.541
Africa,,2016,6.284
Africa,,2017,-0.026
Africa,,2018,-1.686
Africa,,2019,2.722
Africa,,2020,-4.846
Algeria,DZA,1966,-2.857
Algeria,DZA,1967,-23.529
Algeria,DZA,1968,5.769
Algeria,DZA,1969,27.273
Algeria,DZA,1970,18.571
Algeria,DZA,1971,-72.289
Algeria,DZA,1972,-13.043
Algeria,DZA,1973,15
Algeria,DZA,1974,-17.391
Algeria,DZA,1975,26.316
Algeria,DZA,1976,95.833
Algeria,DZA,1977,29.787
Algeria,DZA,1978,-49.18
Algeria,DZA,1979,132.258
Algeria,DZA,1980,-11.111
Algeria,DZA,1981,-29.688
Algeria,DZA,1982,1755.556
Algeria,DZA,1983,-10.778
Algeria,DZA,1984,10.872
Algeria,DZA,1985,4.358
Algeria,DZA,1986,2.668
Algeria,DZA,1987,19.548
Algeria,DZA,1988,-5.955
Algeria,DZA,1989,-15.477
