,Entity,Code,Year,CSP LCOE (2019 USD/kWh),Hydro LCOE (2019 USD/kWh),Solar LCOE (2019 USD/kWh),Onshore wind LCOE (2019 USD/kWh),Bioenergy LCOE (2019 USD/kWh),Geothermal LCOE (2019 USD/kWh),Offshore wind LCOE (2019 USD/kWh)
376,World,OWID_WRL,2010,0.3462,0.0371025023185192,0.3783,0.086,0.0755971834967537,0.0487856909008365,0.161
377,World,OWID_WRL,2011,0.3484,0.03559377434312,0.2863,0.083,0.0554252390111758,,0.175
378,World,OWID_WRL,2012,0.3525,0.0377531622690881,0.2225,0.083,0.060869469181784,0.0845356219047362,0.154
379,World,OWID_WRL,2013,0.2681,0.0429255116677496,0.1751,0.082,0.0812622636558613,0.0615153448579886,0.177
380,World,OWID_WRL,2014,0.2432,0.0439316333227159,0.1636,0.076,0.0820690381412393,0.0635914117834152,0.183
381,World,OWID_WRL,2015,0.2508,0.0390143867021239,0.1264,0.069,0.0730284009536243,0.0601067742821692,0.169
382,World,OWID_WRL,2016,0.2903,0.0522196583086724,0.1139,0.066,0.0719323779049387,0.0699514567661543,0.146
383,World,OWID_WRL,2017,0.2533,0.0550251855930291,0.0924,0.064,0.0724324381707128,0.0741089584057715,0.131
384,World,OWID_WRL,2018,0.1844,0.044514499851478,0.0787,0.058,0.0566320767979045,0.0702816562405742,0.127
385,World,OWID_WRL,2019,0.1823,0.0472866393347343,0.0684,0.053,0.0656467075167352,0.0718604715042037,0.115
386,World,OWID_WRL,1983,,,,0.308,,,
387,World,OWID_WRL,1984,,,,0.294,,,
388,World,OWID_WRL,1985,,,,0.276,,,
389,World,OWID_WRL,1986,,,,0.247,,,
390,World,OWID_WRL,1987,,,,0.24,,,
391,World,OWID_WRL,1988,,,,0.201,,,
392,World,OWID_WRL,1989,,,,0.187,,,
393,World,OWID_WRL,1990,,,,0.204,,,
394,World,OWID_WRL,1991,,,,0.196,,,
395,World,OWID_WRL,1992,,,,0.193,,,
396,World,OWID_WRL,1993,,,,0.199,,,
397,World,OWID_WRL,1994,,,,0.193,,,
398,World,OWID_WRL,1995,,,,0.196,,,
399,World,OWID_WRL,1996,,,,0.178,,,
400,World,OWID_WRL,1997,,,,0.157,,,
401,World,OWID_WRL,1998,,,,0.139,,,
402,World,OWID_WRL,1999,,,,0.134,,,
403,World,OWID_WRL,2000,,,,0.142,,,0.121
404,World,OWID_WRL,2001,,,,0.126,,,0.12
405,World,OWID_WRL,2002,,,,0.119,,,0.117
406,World,OWID_WRL,2003,,,,0.106,,,0.103
407,World,OWID_WRL,2004,,,,0.111,,,0.135
408,World,OWID_WRL,2005,,,,0.104,,,0.105
409,World,OWID_WRL,2006,,,,0.105,,,0.108
410,World,OWID_WRL,2007,,,,0.098,,0.0484978758232361,0.178
411,World,OWID_WRL,2008,,,,0.088,,0.04265289305772,0.178
412,World,OWID_WRL,2009,,,,0.087,,0.0726237873686132,0.157
