Entity,Code,Year,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geo Biomass Other - TWh
Africa,,1965,0,0,13.90563517,0
Africa,,1966,0,0,15.51000414,0
Africa,,1967,0,0,16.19063636,0
Africa,,1968,0,0,18.93834056,0
Africa,,1969,0,0,22.10088962,0
Africa,,1970,0,0,27.63042982,0
Africa,,1971,0,0,26.0133909,0.164
Africa,,1972,0,0,29.63319642,0.165
Africa,,1973,0,0,31.34570755,0.17
Africa,,1974,0,0,35.66707429,0.175
Africa,,1975,0,0,37.71796997,0.172
Africa,,1976,0,0,41.79763324,0.185
Africa,,1977,0,0,45.92876812,0.189
Africa,,1978,0,0,46.30693874,0.195
Africa,,1979,0,0,49.56523298,0.201
Africa,,1980,0,0,48.31178436,0.207
Africa,,1981,0,0,50.19290606,0.218
Africa,,1982,0,0,50.20623713,0.236
Africa,,1983,0,0,45.24716006,0.23
Africa,,1984,0,0,44.48997332,0.234
Africa,,1985,0,0,49.44968505,0.269
Africa,,1986,0,0,51.1453733,0.659
Africa,,1987,0,0,49.05646031,0.658
Africa,,1988,0,0,53.59345636,0.626
Africa,,1989,0,0,56.27621477,0.617
Africa,,1990,0,0,57.25465912,0.808
Africa,,1991,0,0,60.65148841,0.824
Africa,,1992,0,0,57.86029168,0.85425
Africa,,1993,0,0.002,56.68250727,0.9397
Africa,,1994,0,0.0054,57.59604857,0.837
Africa,,1995,0,0.0063,59.76887687,1.0207
Africa,,1996,0,0.0071,62.31645867,1.260093088
Africa,,1997,0,0.0072,63.85249756,1.388640408
Africa,,1998,0,0.0076,66.65488788,1.714549286
Africa,,1999,0,0.0198,70.68426132,1.696124799
Africa,,2000,0.011941,0.1755,75.24581662,2.269063158
Africa,,2001,0.01496,0.41558,80.86411472,2.335352632
Africa,,2002,0.01787101,0.443584,85.18146813,2.2864
Africa,,2003,0.02132901,0.535599,82.87260146,2.6224
Africa,,2004,0.02576101,0.768280505,87.40546926,2.978849535
Africa,,2005,0.03067601,0.780382111,89.06573418,3.009669408
Africa,,2006,0.03895701,0.852565606,92.24435301,3.770404784
Africa,,2007,0.051533293,1.016223364,95.34056181,3.142048288
Africa,,2008,0.073232202,1.311778131,97.15720925,3.267395686
Africa,,2009,0.096152927,1.589230939,99.7611369,3.56272219
Africa,,2010,0.21252075,2.284582434,107.4268326,3.825406558
Africa,,2011,0.601454301,2.386503939,110.444821,3.929656611
Africa,,2012,0.994443126,2.51563024,110.9523002,4.085024546
Africa,,2013,0.78891014,3.593447303,117.6388464,4.4308941
Africa,,2014,1.93770017,5.060072834,123.7267948,5.521055906
Africa,,2015,3.592173384,8.910686283,120.1678361,7.191202122
Africa,,2016,5.12019689,11.17637067,116.7188052,7.281251193
Africa,,2017,6.902446607,12.4577741,125.8165222,7.653766329
Africa,,2018,8.295433824,14.77072335,133.140498,8.097891299
Africa,,2019,10.90690156,18.85772913,137.2155108,8.22808243
Africa,,2020,12.40778213,21.78984307,142.5749961,8.068135119
Algeria,DZA,1965,0,0,0.4,0
Algeria,DZA,1966,0,0,0.355,0
Algeria,DZA,1967,0,0,0.41,0
Algeria,DZA,1968,0,0,0.563,0
Algeria,DZA,1969,0,0,0.361,0
Algeria,DZA,1970,0,0,0.58,0
Algeria,DZA,1971,0,0,0.33,0
Algeria,DZA,1972,0,0,0.495,0
Algeria,DZA,1973,0,0,0.752,0
Algeria,DZA,1974,0,0,0.497,0
Algeria,DZA,1975,0,0,0.328,0
Algeria,DZA,1976,0,0,0.389,0
Algeria,DZA,1977,0,0,0.269,0
Algeria,DZA,1978,0,0,0.25,0
Algeria,DZA,1979,0,0,0.291,0
Algeria,DZA,1980,0,0,0.257,0
Algeria,DZA,1981,0,0,0.366,0
Algeria,DZA,1982,0,0,0.479,0
Algeria,DZA,1983,0,0,0.235,0
Algeria,DZA,1984,0,0,0.452,0
Algeria,DZA,1985,0,0,0.646,0
Algeria,DZA,1986,0,0,0.25,0
Algeria,DZA,1987,0,0,0.499,0
Algeria,DZA,1988,0,0,0.183,0
Algeria,DZA,1989,0,0,0.226,0
Algeria,DZA,1990,0,0,0.135,0
Algeria,DZA,1991,0,0,0.293,0
Algeria,DZA,1992,0,0,0.199,0
Algeria,DZA,1993,0,0,0.353,0
Algeria,DZA,1994,0,0,0.166,0
Algeria,DZA,1995,0,0,0.193,0
Algeria,DZA,1996,0,0,0.135,0
Algeria,DZA,1997,0,0,0.075,0
Algeria,DZA,1998,0,0,0.215,0
Algeria,DZA,1999,0,0,0.203,0
Algeria,DZA,2000,0,0,0.054,0
Algeria,DZA,2001,0,0,0.069,0
Algeria,DZA,2002,0,0,0.057,0
Algeria,DZA,2003,0,0,0.265,0
Algeria,DZA,2004,0,0,0.251,0
Algeria,DZA,2005,0,0,0.5553,0
Algeria,DZA,2006,0,0,0.2176,0
Algeria,DZA,2007,0,0,0.226,0
Algeria,DZA,2008,0,0,0.283,0
Algeria,DZA,2009,0,0,0.342,0
Algeria,DZA,2010,0.0091,0,0.173,0
Algeria,DZA,2011,0.01811875,0,0.378,0
Algeria,DZA,2012,0.026723014,0,0.389,0
Algeria,DZA,2013,0.0286,0,0.099,0
Algeria,DZA,2014,0.06,0.001,0.193,0
Algeria,DZA,2015,0.058,0.019,0.145,0
Algeria,DZA,2016,0.245,0.019052055,0.072,0
Algeria,DZA,2017,0.504,0.019,0.056,0
Algeria,DZA,2018,0.603,0.01,0.117,0
Algeria,DZA,2019,0.615,0.01,0.152,0
Algeria,DZA,2020,0.6,0.008,0.05,0
Argentina,ARG,1965,0,0,1.225,0
Argentina,ARG,1966,0,0,1.241,0
Argentina,ARG,1967,0,0,1.271,0
Argentina,ARG,1968,0,0,1.498,0
Argentina,ARG,1969,0,0,1.344,0
Argentina,ARG,1970,0,0,1.555,0.047540991
Argentina,ARG,1971,0,0,1.544,0.049864614
Argentina,ARG,1972,0,0,1.504,0.064353152
Argentina,ARG,1973,0,0,2.994,0.049042434
Argentina,ARG,1974,0,0,5.028,0.050067671
Argentina,ARG,1975,0,0,5.201,0.054922642
Argentina,ARG,1976,0,0,5.013,0.050202792
Argentina,ARG,1977,0,0,5.766,0.053855108
Argentina,ARG,1978,0,0,7.752,0.054136662
Argentina,ARG,1979,0,0,10.66,0.084393763
Argentina,ARG,1980,0,0,15.144,0.086251568
Argentina,ARG,1981,0,0,14.685,0.0747225
Argentina,ARG,1982,0,0,17.593,0.095912465
Argentina,ARG,1983,0,0,18.419,0.137314784
Argentina,ARG,1984,0,0,19.88,0.097392792
Argentina,ARG,1985,0,0,20.646,0.103321614
Argentina,ARG,1986,0,0,21.009,0.107078921
Argentina,ARG,1987,0,0,21.841,0.108156823
Argentina,ARG,1988,0,0,15.033,0.121116047
Argentina,ARG,1989,0,0,12.965,0.119376908
Argentina,ARG,1990,0,0,17.876,0.106763284
Argentina,ARG,1991,0,0,16.221,0.099600404
Argentina,ARG,1992,0,0,19.77905051,0.101865495
Argentina,ARG,1993,0,0,23.55547475,0.107438403
Argentina,ARG,1994,0,0,27.97278788,0.119290038
Argentina,ARG,1995,0,0,28.45812121,0.115592457
Argentina,ARG,1996,0,0.009618,25.94518182,0.351397492
Argentina,ARG,1997,0,0.014592,33.0299596,0.44563205
Argentina,ARG,1998,0.000017,0.032541,32.42178788,0.463881203
Argentina,ARG,1999,0.000026,0.034781,26.53007071,0.650455143
Argentina,ARG,2000,0.000036,0.034758,34.0340101,0.67501431
Argentina,ARG,2001,0.000043,0.049361,41.90326263,0.60932585
Argentina,ARG,2002,0.000047,0.073405,41.46705051,0.850248638
Argentina,ARG,2003,0.000065,0.077954,39.08008081,1.014079858
Argentina,ARG,2004,0.00007,0.072446,35.40287879,0.90029509
Argentina,ARG,2005,0.000081,0.071719665,39.35009091,1.074072901
Argentina,ARG,2006,0.00009,0.06964,43.624,1.567410315
Argentina,ARG,2007,0.0001089,0.061593,37.741,1.575708696
Argentina,ARG,2008,0.0001437,0.041951078,37.199,1.693536384
Argentina,ARG,2009,0.000076084,0.036831529,40.783,1.728756162
Argentina,ARG,2010,0.00008589,0.025351606,40.543,2.01325481
Argentina,ARG,2011,0.001614,0.02659055,39.641,2.190205828
Argentina,ARG,2012,0.008172967,0.369861999,36.876,2.45382161
Argentina,ARG,2013,0.015074079,0.453354876,40.7,2.45735005
Argentina,ARG,2014,0.015944,0.619491,40.864,2.302025252
Argentina,ARG,2015,0.014683,0.593334963,41.7709,2.378258598
Argentina,ARG,2016,0.014273,0.547359,38.25439327,1.963408643
Argentina,ARG,2017,0.016417,0.611567,41.54297858,2.383654508
Argentina,ARG,2018,0.10813,1.412743,41.64786518,0.473010421
Argentina,ARG,2019,0.799697913,4.995966424,37.06678706,0.622944562
Argentina,ARG,2020,1.344340935,9.470297617,30.54359219,0.413941191
Asia Pacific,,1965,0,0,156.0895546,1.644
Asia Pacific,,1966,0,0,162.3118272,1.643
Asia Pacific,,1967,0,0,152.8667474,1.424
Asia Pacific,,1968,0,0,168.249119,1.577
Asia Pacific,,1969,0,0,174.1638034,1.608
Asia Pacific,,1970,0,0,180.7100104,1.776704
Asia Pacific,,1971,0,0,199.2820798,1.754611
Asia Pacific,,1972,0,0,205.116013,1.785591
Asia Pacific,,1973,0,0,194.011624,1.834998
Asia Pacific,,1974,0,0,217.9046095,2.496269105
Asia Pacific,,1975,0,0,232.4442504,2.654334368
Asia Pacific,,1976,0,0,233.2533699,2.587064579
Asia Pacific,,1977,0,0,227.038314,2.622443474
Asia Pacific,,1978,0,0,237.0464094,2.917471368
Asia Pacific,,1979,0,0,256.9818747,3.712920421
Asia Pacific,,1980,0,0,273.4472188,5.173433158
Asia Pacific,,1981,0,0,289.7296902,7.071965421
Asia Pacific,,1982,0,0,282.6671874,15.95189475
Asia Pacific,,1983,0,0,299.3413708,18.06780657
Asia Pacific,,1984,0,0,299.406694,19.74213741
Asia Pacific,,1985,0,0,320.0446134,20.79148751
Asia Pacific,,1986,0,0,328.1591022,21.68989005
Asia Pacific,,1987,0,0,326.8912812,22.00974994
Asia Pacific,,1988,0,0,361.7862617,23.82670473
Asia Pacific,,1989,0,0,388.0435299,26.24333903
Asia Pacific,,1990,0.004,0.032323232,399.2715428,22.33408198
Asia Pacific,,1991,0.00945,0.122000909,410.5242724,22.83825194
Asia Pacific,,1992,0.0276,0.22047404,401.5246502,23.00633425
Asia Pacific,,1993,0.0431,0.311836667,440.2869206,22.89851394
Asia Pacific,,1994,0.0534,0.583588081,443.2981976,26.37097959
Asia Pacific,,1995,0.070660101,1.121601313,483.4344319,30.90213872
Asia Pacific,,1996,0.098160606,0.991205066,473.4094407,31.45602397
Asia Pacific,,1997,0.147015452,1.213950041,475.8946677,34.93782766
Asia Pacific,,1998,0.202918856,1.489550167,506.6742947,37.54185188
Asia Pacific,,1999,0.286266606,2.053249006,500.2429652,41.20269497
Asia Pacific,,2000,0.428484426,2.56394698,521.6528876,44.60806485
Asia Pacific,,2001,0.608506426,3.517409418,570.4635729,45.24425452
Asia Pacific,,2002,0.829111425,4.067013247,578.9087814,47.07413449
Asia Pacific,,2003,1.116570608,5.340875855,594.3543015,49.24454746
Asia Pacific,,2004,1.463785013,9.1866934,699.1522028,53.02552883
Asia Pacific,,2005,1.852540528,12.01919361,727.9606312,60.19216537
Asia Pacific,,2006,2.29110778,18.56980713,801.697905,64.50055645
Asia Pacific,,2007,2.748389875,24.60313141,852.1739291,71.1346546
Asia Pacific,,2008,3.330039168,36.0798946,997.7769593,78.9708115
Asia Pacific,,2009,4.382369759,54.84797828,968.0869271,87.28922991
Asia Pacific,,2010,6.73715687,81.48419655,1097.622159,99.38898179
Asia Pacific,,2011,12.15284375,113.5510876,1117.742583,108.7470051
Asia Pacific,,2012,17.52820574,147.7235801,1261.911788,117.6274048
Asia Pacific,,2013,32.32084555,188.4721434,1367.364304,129.5574817
Asia Pacific,,2014,62.82208136,214.2726871,1521.930169,148.0775123
Asia Pacific,,2015,95.346154,243.0600532,1565.604681,165.5571168
Asia Pacific,,2016,141.5306366,311.2076135,1628.172172,170.8474133
Asia Pacific,,2017,219.8052652,387.0977782,1671.439055,197.4444286
Asia Pacific,,2018,309.1100675,461.9517581,1711.995847,221.8257512
Asia Pacific,,2019,392.0389961,509.3683071,1791.4782,247.8146462
Asia Pacific,,2020,470.2983146,572.6361061,1847.216313,279.0733629
Australia,AUS,1965,0,0,7.689756,0.296
Australia,AUS,1966,0,0,7.3450428,0.284
Australia,AUS,1967,0,0,7.6057874,0.29
Australia,AUS,1968,0,0,7.9505006,0.282
Australia,AUS,1969,0,0,8.684121,0.281
Australia,AUS,1970,0,0,10.170687,0.261
Australia,AUS,1971,0,0,11.5074428,0.263
Australia,AUS,1972,0,0,11.5533144,0.28
Australia,AUS,1973,0,0,12.2858392,0.338
Australia,AUS,1974,0,0,13.8739202,0.429
Australia,AUS,1975,0,0,14.8878016,0.489
Australia,AUS,1976,0,0,14.1538588,0.484
Australia,AUS,1977,0,0,13.5439502,0.429
Australia,AUS,1978,0,0,14.6753494,0.405
Australia,AUS,1979,0,0,14.2460556,0.418
Australia,AUS,1980,0,0,13.4665978,0.385
Australia,AUS,1981,0,0,13.8663438,0.404
Australia,AUS,1982,0,0,12.770334,0.516
Australia,AUS,1983,0,0,12.123648,0.431
